Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
63,N6AMG,440.37500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Fresno",
64,N6TNR,440.37500,+,5.00000,,88.5,88.5,023,NN,FM,5,"San Jose",
65,WB6WTM,440.40000,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,"Berkeley",
66,WA6BAI,440.40000,+,5.00000,Tone,103.5,88.5,023,NN,FM,5,"Visalia,  Park Ridge",
67,KG6PND,440.42500,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Marysville",
68,WA6HAM,440.42500,+,5.00000,Tone,79.7,88.5,023,NN,FM,5,"San Ramon",
69,K6EAR,440.45000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Santa Rosa",
70,N6BYH,440.45000,+,5.00000,Tone,141.3,141.3,023,NN,FM,5,"Visalia",
71,W6KAP,440.45000,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,"Volcano",
72,W6DXW,440.45000,+,5.00000,Tone,110.9,110.9,023,NN,FM,5,"Watsonville",
73,N6ZX,440.45000,+,5.00000,Tone,107.2,88.5,023,NN,Auto,5,"Woodside",
74,K6GOD,440.47500,+,5.00000,Tone,107.2,88.5,023,NN,FM,5,"Morgan Hill, Crystal Peak",
75,KC6UDS,440.47500,+,5.00000,Tone,192.8,88.5,023,NN,FM,5,"Woodland",
76,WA6UHF,440.50000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Chico",
77,N6AMG,440.50000,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Daly City, San Bruno Mountain",
78,N6AMG,440.50000,+,5.00000,,88.5,88.5,23,NN,DIG,5,"San Bruno",
79,N6AMG,440.50000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Westley",
80,N6LEX,440.52500,+,5.00000,Tone,146.2,88.5,023,NN,FM,5,"Coalinga",
81,KB6LCS,440.52500,+,5.00000,Tone,192.8,88.5,023,NN,FM,5,"Grass Valley",
